BRA 5102,25,0
BRA 4753,105,0
BRA 4753,101,0
BRA 4753,30,0
BRA 3338,24,0
PI 6789 ,667,0
VI 4397 ,26,0
VI 1203 ,27,0
BRA 1377,25,0
BRA 2696,24,0
PI 6789 ,668,0
VI 1203 ,15,0
BRA 3555,24,0
VI 4427 ,26,192
VI 4397 ,27,0
PI 4526 ,667,0
VI 1203 ,26,0
BRA 3063,24,0
VI 1791 ,26,66
VI 6540 ,26,4
BRA 3338,25,0
BRA 2696,25,0
PI 4526 ,668,0
BRA 3555,25,0
PI 7802 ,101,0
PI 7802 ,30,0
LSPD 526,668,1
BRA 8586,24,30
VI 1791 ,27,0
BRA 3063,25,0
VI 6540 ,27,0
LSPD 264,210,2
LSPD 264,211,4
LSPD 264,4,1
04UUT023,6,3
04UUT023,25,9
VI 8271 ,26,0
BRA 4425,101,0
BRA 4425,105,0
BRA 4425,24,0
VI 8271 ,27,0
24OTH015,211,0
BRA 4941,24,0
BRA 1217,24,0
BRA 4425,25,0
09WRI000,29,17
VI 6236 ,26,200
PI 9142 ,667,0
PI 4568 ,667,0
09WRI000,8,0
PI 9142 ,668,0
VI 5717 ,26,200
BRA 4941,25,0
PI 4568 ,668,0
BRA 1217,25,0
09WRI000,206,0
BRA 6813,24,0
VI 2701 ,26,0
VI 7403 ,26,0
VI 3872 ,26,201
81HCF176,32,0
85AYB532,32,1
VI 7403 ,27,0
BRA 6813,25,0
VI 5630 ,26,0
VI 8796 ,32,0
BRA 7422,24,0
BRA 7711,24,0
VI 2701 ,27,140
VI 8796 ,33,0
VI 5630 ,27,0
BRA 7711,25,0
BRA 7422,25,0
HUNT 841,29,0
HUNT 841,8,0
VI 4028 ,26,198
VI 4028 ,27,2
42EWE155,667,0
PI 1620 ,667,2
PI 4818 ,667,0
PI 4818 ,668,0
BRA 7418,24,0
BRA 6965,24,0
BRA 7418,25,0
BRA 6965,25,140
BRA 6965,206,0
BRA 8557,24,20
BRA 8557,25,0
UBER 194,8,0
UBER 194,30,0
BRA 1988,30,0
BRA 1988,24,0
PI 6512 ,667,0
BRA 1988,25,0
PI 6512 ,668,0
VI 8717 ,26,50
07XCA964,32,0
VI 1364 ,26,0
BRA 5982,24,0
VI 1364 ,27,0
BRA 5982,25,0
BRA 6310,24,0
00GLY025,33,0
BRA 6310,6,0
40KFN419,32,0
